reporter_name,reporter_iso,year,gdp_growth_annual_pct
Afghanistan,AFG,2024,1.87319280045979
Afghanistan,AFG,2023,2.26694373649188
Afghanistan,AFG,2022,-6.24017199240269
Afghanistan,AFG,2021,-20.7388393676343
Afghanistan,AFG,2020,-2.35110067203466
Afghanistan,AFG,2019,3.91160341625552
Afghanistan,AFG,2018,1.18922812944517
Afghanistan,AFG,2017,2.6470032027451
Afghanistan,AFG,2016,2.26031420279821
Afghanistan,AFG,2015,1.45131466066431
Albania,ALB,2024,4.04592845095348
Albania,ALB,2023,4.01541716935742
Albania,ALB,2022,4.8268006234359
Albania,ALB,2021,8.96957619074095
Albania,ALB,2020,-3.31375636888916
Albania,ALB,2019,2.06257790176122
Albania,ALB,2018,3.67141928098908
Albania,ALB,2017,3.28317593330073
Albania,ALB,2016,3.90893551362245
Albania,ALB,2015,2.2277040745779
Algeria,DZA,2024,3.69999999907979
Algeria,DZA,2023,4.10000000005964
Algeria,DZA,2022,3.60000000094915
Algeria,DZA,2021,3.79999999900707
Algeria,DZA,2020,-4.99999999908597
Algeria,DZA,2019,0.899999999219148
Algeria,DZA,2018,1.40000000088281
Algeria,DZA,2017,1.49999999895587
Algeria,DZA,2016,3.90000000017621
Algeria,DZA,2015,3.20000000089023
American Samoa,ASM,2024,
American Samoa,ASM,2023,
American Samoa,ASM,2022,1.73501577287065
American Samoa,ASM,2021,-0.782472613458523
American Samoa,ASM,2020,4.41176470588236
American Samoa,ASM,2019,-0.487804878048777
American Samoa,ASM,2018,2.6711185308848
American Samoa,ASM,2017,-6.98757763975155
American Samoa,ASM,2016,-1.67938931297709
American Samoa,ASM,2015,3.14960629921259
Andorra,AND,2024,3.8491605039052
Andorra,AND,2023,2.58355480961319
Andorra,AND,2022,9.56461225648184
Andorra,AND,2021,8.28677879049404
Andorra,AND,2020,-11.1839399355384
Andorra,AND,2019,2.01554763848308
Andorra,AND,2018,1.58876549046354
Andorra,AND,2017,0.346071889630295
Andorra,AND,2016,3.70967806978986
Andorra,AND,2015,1.43414039522716
Angola,AGO,2024,4.95267860425956
Angola,AGO,2023,1.32016587081031
Angola,AGO,2022,3.55749206675667
Angola,AGO,2021,1.09058369944815
Angola,AGO,2020,-5.27349128300007
Angola,AGO,2019,-1.05523414494337
Angola,AGO,2018,-0.506697543616156
Angola,AGO,2017,-0.164688656961076
Angola,AGO,2016,-0.233076954805284
Angola,AGO,2015,0.763177710914789
Antigua and Barbuda,ATG,2024,2.54044193946544
Antigua and Barbuda,ATG,2023,3.86550160079324
Antigua and Barbuda,ATG,2022,8.49776342254205
Antigua and Barbuda,ATG,2021,8.17286311186622
Antigua and Barbuda,ATG,2020,-18.8687765208148
Antigua and Barbuda,ATG,2019,3.1722219373937
Antigua and Barbuda,ATG,2018,6.71200487159726
Antigua and Barbuda,ATG,2017,2.71272657973627
Antigua and Barbuda,ATG,2016,4.1203675438061
Antigua and Barbuda,ATG,2015,1.42161997595372
Argentina,ARG,2024,-1.34293072157739
Argentina,ARG,2023,-1.85578803046339
Argentina,ARG,2022,6.02074537534855
Argentina,ARG,2021,10.4418119882506
Argentina,ARG,2020,-9.9004848136464
Argentina,ARG,2019,-2.00086100285785
Argentina,ARG,2018,-2.61739646282038
Argentina,ARG,2017,2.81850297775918
Argentina,ARG,2016,-2.08032784377811
Argentina,ARG,2015,2.73115982828944
Armenia,ARM,2024,5.90000000046228
Armenia,ARM,2023,8.29999999959539
Armenia,ARM,2022,12.5999999997766
Armenia,ARM,2021,5.80000000065645
Armenia,ARM,2020,-7.19999999920631
Armenia,ARM,2019,7.59999999853918
Armenia,ARM,2018,5.19999999965324
Armenia,ARM,2017,7.50000000164144
Armenia,ARM,2016,0.199999999825991
Armenia,ARM,2015,3.19999999896625
Aruba,ABW,2024,6.81077669324554
Aruba,ABW,2023,9.51636022347185
Aruba,ABW,2022,10.6079607621246
Aruba,ABW,2021,14.833691976226
Aruba,ABW,2020,-23.9400592677491
Aruba,ABW,2019,1.22914408896015
Aruba,ABW,2018,3.21247111920076
Aruba,ABW,2017,3.49342985290626
Aruba,ABW,2016,1.23433537363427
Aruba,ABW,2015,3.61147906591042
Australia,AUS,2024,1.37340773365975
Australia,AUS,2023,3.58382100798981
Australia,AUS,2022,4.25304559238732
Australia,AUS,2021,2.00694844335034
Australia,AUS,2020,-0.133531904304775
Australia,AUS,2019,2.19401703622717
Australia,AUS,2018,2.87417039499501
Australia,AUS,2017,2.29331030192918
Australia,AUS,2016,2.75564065529868
Australia,AUS,2015,2.16434780647852
Austria,AUT,2024,-0.659089573171372
Austria,AUT,2023,-0.786244288594673
Austria,AUT,2022,5.33096379400371
Austria,AUT,2021,4.92309171717903
Austria,AUT,2020,-6.31825509209936
Austria,AUT,2019,1.75497619649288
Austria,AUT,2018,2.48422114080024
Austria,AUT,2017,2.27224992038207
Austria,AUT,2016,2.11721964494312
Austria,AUT,2015,1.30352331826198
Azerbaijan,AZE,2024,4.15806800428062
Azerbaijan,AZE,2023,1.35447749115767
Azerbaijan,AZE,2022,4.71468033247649
Azerbaijan,AZE,2021,5.61644027150554
Azerbaijan,AZE,2020,-4.19896065333343
Azerbaijan,AZE,2019,2.47980879185565
Azerbaijan,AZE,2018,1.50040167167313
Azerbaijan,AZE,2017,0.153614661745507
Azerbaijan,AZE,2016,-3.06359842251706
Azerbaijan,AZE,2015,1.04954641215085
"Bahamas, The",BHS,2024,3.37866553336166
"Bahamas, The",BHS,2023,3.04824180553773
"Bahamas, The",BHS,2022,10.8779009410268
"Bahamas, The",BHS,2021,17.5861390037409
"Bahamas, The",BHS,2020,-20.0893664891399
"Bahamas, The",BHS,2019,-0.838585871193203
"Bahamas, The",BHS,2018,2.39795510823548
"Bahamas, The",BHS,2017,3.3713988456489
"Bahamas, The",BHS,2016,-1.15650811269629
"Bahamas, The",BHS,2015,0.997411675486745
Bahrain,BHR,2024,2.89710543153512
Bahrain,BHR,2023,3.87811614845566
Bahrain,BHR,2022,6.18016125475185
Bahrain,BHR,2021,4.35004091668986
Bahrain,BHR,2020,-5.9113629524152
Bahrain,BHR,2019,2.05287774418655
Bahrain,BHR,2018,2.05258864979861
Bahrain,BHR,2017,4.95383534123657
Bahrain,BHR,2016,3.81499327422425
Bahrain,BHR,2015,2.50787205267615
Bangladesh,BGD,2024,4.22325911250161
Bangladesh,BGD,2023,5.77511237007889
Bangladesh,BGD,2022,7.09982877575158
Bangladesh,BGD,2021,6.93867912442445
Bangladesh,BGD,2020,3.44801755122445
Bangladesh,BGD,2019,7.88191515117722
Bangladesh,BGD,2018,7.31941263014136
Bangladesh,BGD,2017,6.59024999794057
Bangladesh,BGD,2016,7.11347821270093
Bangladesh,BGD,2015,6.55263987816197
Barbados,BRB,2024,3.3669492581395
Barbados,BRB,2023,1.81419817804516
Barbados,BRB,2022,15.9453206225473
Barbados,BRB,2021,8.0198770096479
Barbados,BRB,2020,-17.4059314651747
Barbados,BRB,2019,0.241099789148677
Barbados,BRB,2018,-0.252085325827849
Barbados,BRB,2017,0.654655602860373
Barbados,BRB,2016,1.41632446821541
Barbados,BRB,2015,-0.772620078410995
Belarus,BLR,2024,4.34999638140579
Belarus,BLR,2023,4.12654007153881
Belarus,BLR,2022,-4.65839591328999
Belarus,BLR,2021,2.43886210234947
Belarus,BLR,2020,-0.672742918585868
Belarus,BLR,2019,1.44645548204305
Belarus,BLR,2018,3.14919758275296
Belarus,BLR,2017,2.53218349471909
Belarus,BLR,2016,-2.5264464460425
Belarus,BLR,2015,-3.82957056812593
Belgium,BEL,2024,1.09775383828703
Belgium,BEL,2023,1.56125539542029
Belgium,BEL,2022,4.02460852835887
Belgium,BEL,2021,6.25445686466593
Belgium,BEL,2020,-4.7929839083518
Belgium,BEL,2019,2.4428900448156
Belgium,BEL,2018,1.87796847383565
Belgium,BEL,2017,1.47446761556785
Belgium,BEL,2016,1.19350273007754
Belgium,BEL,2015,1.47416433731927
Belize,BLZ,2024,3.50466435023895
Belize,BLZ,2023,0.500127941638667
Belize,BLZ,2022,9.25051329530994
Belize,BLZ,2021,17.9899244143607
Belize,BLZ,2020,-13.5228997055506
Belize,BLZ,2019,4.25658710030072
Belize,BLZ,2018,0.822068592512508
Belize,BLZ,2017,-1.83323729057784
Belize,BLZ,2016,-0.0187414958130319
Belize,BLZ,2015,2.7602602736023
Benin,BEN,2024,7.45311566226201
Benin,BEN,2023,6.3527773854442
Benin,BEN,2022,6.25294705373625
Benin,BEN,2021,7.1554516457574
Benin,BEN,2020,3.84879240030133
